"","Name","POS","Age","Exp","College","team"
"414","Tim Jones","WR",25,2,"Southern Miss","JAX"
"415","Zay Jones","WR",28,7,"East Carolina","JAX"
"416","Christian Kirk","WR",26,6,"Texas A&M","JAX"
"417","Oliver Martin","WR",24,0,"Nebraska","JAX"
"418","Kendric Pryor","WR",25,2,"Wisconsin","JAX"
"419","Calvin Ridley","WR",28,5,"Alabama","JAX"
"420","Parker Washington","WR",21,0,"Penn State","JAX"
"421","Seth Williams","WR",23,1,"Auburn","JAX"
"422","Evan Engram","TE",28,7,"Ole Miss","JAX"
"423","Luke Farrell","TE",25,3,"Ohio State","JAX"
"424","Josh Pederson","TE",25,1,"Louisiana-Monroe","JAX"
"425","Gerrit Prince","TE",25,1,"UAB","JAX"
"426","Sammis Reyes","TE",27,2,"Loyola (LA)","JAX"
"427","Brenton Strange","TE",22,0,"Penn State","JAX"
"428","Leonard Taylor","TE",23,0,"Cincinnati","JAX"
"429","Shane Buechele","QB",25,3,"SMU","KC"
"430","Blaine Gabbert","QB",33,13,"Missouri","KC"
"431","Patrick Mahomes","QB",27,7,"Texas Tech","KC"
"432","Chris Oladokun","QB",25,1,"South Dakota State","KC"
"433","Clyde Edwards-Helaire","RB",24,4,"LSU","KC"
"434","Jerick McKinnon","RB",31,10,"Georgia Southern","KC"
"435","Isiah Pacheco","RB",24,2,"Rutgers","KC"
"436","La'Mical Perine","RB",25,3,"Florida","KC"
"437","Deneric Prince","RB",23,0,"Tulsa","KC"
"438","Kekoa Crawford","WR",NA,0,"California","KC"
"439","Jerrion Ealy","WR",22,1,"Ole Miss","KC"
"440","Ty Fryfogle","WR",24,1,"Indiana","KC"
"441","Richie James","WR",27,6,"Middle Tennessee","KC"
"442","Skyy Moore","WR",22,2,"Western Michigan","KC"
"443","Cornell Powell","WR",25,1,"Clemson","KC"
"444","Nikko Remigio","WR",23,0,"Fresno State","KC"
"445","Rashee Rice","WR",23,0,"SMU","KC"
"446","Justyn Ross","WR",23,2,"Clemson","KC"
"447","Ty Scott","WR",24,0,"Missouri State","KC"
"448","Ihmir Smith-Marsette","WR",23,3,"Iowa","KC"
"449","Kadarius Toney","WR",24,3,"Florida","KC"
"450","Marquez Valdes-Scantling","WR",28,6,"South Florida","KC"
"451","Justin Watson","WR",27,6,"Pennsylvania","KC"
"452","Blake Bell","TE",32,9,"Oklahoma","KC"
"453","Kendall Blanton","TE",27,3,"Missouri","KC"
"454","Matt Bushman","TE",27,1,"BYU","KC"
"455","Jody Fortson","TE",27,3,"Valdosta State","KC"
"456","Izaiah Gathings","TE",22,0,"Middle Tennessee","KC"
"457","Noah Gray","TE",24,3,"Duke","KC"
