player_name,recent_team,pos,g,p_att,cmp,p_yd,p_td,int,car,r_yd,r_td,tgt,rec,rec_yd,rec_td,fmb,tp_c,f_ppr,tgt_share,ypc,ypr,cmp_pct,td_rate
B.Ford-Wheaton,NYG,WR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,
D.Slayton,NYG,WR,16,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,71.0,39.0,573.0,2.0,0.0,0.0,110.0,,8.5,14.692307692307692,,
I.Hodgins,NYG,WR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,0.0,0.0,0.0,3.2,,,6.0,,
I.Smith-Marsette,NYG,WR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,
J.Hyatt,NYG,WR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,62.0,0.0,0.0,0.0,14.2,,,7.75,,
M.Nabers,NYG,WR,15,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,170.0,109.0,1204.0,7.0,0.0,1.0,273.6,170.0,0.4,11.045871559633028,0.0,0.0
W.Robinson,NYG,WR,17,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,140.0,93.0,699.0,3.0,0.0,0.0,182.70000000000002,,6.0,7.516129032258065,,
A.Rodgers,NYJ,QB,17,584.0,368.0,3897.0,28.0,11.0,22.0,107.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,256.58,0.0,4.863636363636363,,0.6301369863013698,0.04794520547945205
T.Taylor,NYJ,QB,2,22.0,17.0,119.0,3.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.06,0.0,4.333333333333333,,0.7727272727272727,0.13636363636363635
B.Allen,NYJ,RB,17,0.0,0.0,0.0,0.0,0.0,92.0,334.0,2.0,27.0,19.0,148.0,1.0,0.0,0.0,85.2,,3.630434782608696,7.7894736842105265,,
B.Hall,NYJ,RB,16,0.0,0.0,0.0,0.0,0.0,209.0,876.0,5.0,76.0,57.0,483.0,3.0,1.0,2.0,240.9,,4.1913875598086126,8.473684210526315,,
I.Davis,NYJ,RB,9,0.0,0.0,0.0,0.0,0.0,30.0,174.0,1.0,12.0,9.0,75.0,1.0,0.0,0.0,45.9,,5.8,8.333333333333334,,
K.Nwangwu,NYJ,RB,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,
J.Ruckert,NYJ,TE,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,18.0,105.0,0.0,0.0,0.0,28.5,,,5.833333333333333,,
